RELATÓRIO DE COLUNAS REMOVIDAS POR VALORES FALTANTES
======================================================================
Data de análise: 2025-09-03 16:03:39
Dataset original: /Users/marcelosilva/Desktop/copia2 - artigo peer/predição_amamentação/4 - arquivo final sem bloco E/criancas_menores_6_meses_reorganizado.csv
Total de linhas no dataset: 1,960
Total de colunas original: 691
Limiar definido: 30.0% de valores faltantes
Total de colunas removidas: 345
Total de colunas mantidas: 346

DETALHES DAS COLUNAS REMOVIDAS:
--------------------------------------------------
Coluna | Missing | Total | Percentual
--------------------------------------------------
d05a_refeicao_outra | 1960 | 1960 | 100.00%
datahorapedido_r | 1960 | 1960 | 100.00%
i030_9m_bracos | 1960 | 1960 | 100.00%
i031_9m_sentada | 1960 | 1960 | 100.00%
i032_9m_mao | 1960 | 1960 | 100.00%
i033_9m_puxa | 1960 | 1960 | 100.00%
i034_9m_brinca | 1960 | 1960 | 100.00%
i035_9m_mama | 1960 | 1960 | 100.00%
i036_9m_olha | 1960 | 1960 | 100.00%
i037_9m_sons | 1960 | 1960 | 100.00%
i038_9m_anda | 1960 | 1960 | 100.00%
i039_9m_pedidos | 1960 | 1960 | 100.00%
i040_12m_mao | 1960 | 1960 | 100.00%
i041_12m_puxa | 1960 | 1960 | 100.00%
i042_12m_brinca | 1960 | 1960 | 100.00%
i043_12m_mama | 1960 | 1960 | 100.00%
i044_12m_olha | 1960 | 1960 | 100.00%
i045_12m_sons | 1960 | 1960 | 100.00%
i046_12m_anda | 1960 | 1960 | 100.00%
i047_12m_pedidos | 1960 | 1960 | 100.00%
i048_12m_corre | 1960 | 1960 | 100.00%
i049_12m_escadas | 1960 | 1960 | 100.00%
i050_15m_mama | 1960 | 1960 | 100.00%
i051_15m_olha | 1960 | 1960 | 100.00%
i052_15m_sons | 1960 | 1960 | 100.00%
i053_15m_anda | 1960 | 1960 | 100.00%
i054_15m_pedidos | 1960 | 1960 | 100.00%
i055_15m_corre | 1960 | 1960 | 100.00%
i056_15m_escadas | 1960 | 1960 | 100.00%
i057_15m_chuta | 1960 | 1960 | 100.00%
i058_15m_objetos | 1960 | 1960 | 100.00%
i059_15m_corpo | 1960 | 1960 | 100.00%
i060_18m_corre | 1960 | 1960 | 100.00%
i061_18m_escadas | 1960 | 1960 | 100.00%
i062_18m_chuta | 1960 | 1960 | 100.00%
i063_18m_objetos | 1960 | 1960 | 100.00%
i064_18m_corpo | 1960 | 1960 | 100.00%
i065_18m_sozinha | 1960 | 1960 | 100.00%
i066_18m_eu | 1960 | 1960 | 100.00%
i067_18m_pula | 1960 | 1960 | 100.00%
i068_18m_combina | 1960 | 1960 | 100.00%
i069_18m_ajuda | 1960 | 1960 | 100.00%
i070_24m_corpo | 1960 | 1960 | 100.00%
i071_24m_sozinha | 1960 | 1960 | 100.00%
i072_24m_eu | 1960 | 1960 | 100.00%
i073_24m_pula | 1960 | 1960 | 100.00%
i074_24m_combina | 1960 | 1960 | 100.00%
i075_24m_ajuda | 1960 | 1960 | 100.00%
i076_24m_cor | 1960 | 1960 | 100.00%
i077_24m_atencao | 1960 | 1960 | 100.00%
i078_24m_nome | 1960 | 1960 | 100.00%
i079_24m_linhas | 1960 | 1960 | 100.00%
i080_30m_cor | 1960 | 1960 | 100.00%
i081_30m_atencao | 1960 | 1960 | 100.00%
i082_30m_nome | 1960 | 1960 | 100.00%
i083_30m_linhas | 1960 | 1960 | 100.00%
i084_30m_fala | 1960 | 1960 | 100.00%
i085_30m_lava | 1960 | 1960 | 100.00%
i086_30m_perguntas | 1960 | 1960 | 100.00%
i087_30m_explicar | 1960 | 1960 | 100.00%
i088_30m_compara | 1960 | 1960 | 100.00%
i089_30m_responde | 1960 | 1960 | 100.00%
i090_36m_fala | 1960 | 1960 | 100.00%
i091_36m_lava | 1960 | 1960 | 100.00%
i092_36m_perguntas | 1960 | 1960 | 100.00%
i093_36m_explicar | 1960 | 1960 | 100.00%
i094_36m_compara | 1960 | 1960 | 100.00%
i095_36m_responde | 1960 | 1960 | 100.00%
i096_36m_conta | 1960 | 1960 | 100.00%
i097_36m_desenha | 1960 | 1960 | 100.00%
i098_36m_plural | 1960 | 1960 | 100.00%
i099_36m_ontem | 1960 | 1960 | 100.00%
i100_48m_compara | 1960 | 1960 | 100.00%
i101_48m_responde | 1960 | 1960 | 100.00%
i102_48m_conta | 1960 | 1960 | 100.00%
i103_48m_desenha | 1960 | 1960 | 100.00%
i104_48m_plural | 1960 | 1960 | 100.00%
i105_48m_ontem | 1960 | 1960 | 100.00%
i106_48m_urinar | 1960 | 1960 | 100.00%
i107_48m_regras | 1960 | 1960 | 100.00%
i108_48m_copia | 1960 | 1960 | 100.00%
i109_48m_figuras | 1960 | 1960 | 100.00%
i110_59m_conta | 1960 | 1960 | 100.00%
i111_59m_desenha | 1960 | 1960 | 100.00%
i112_59m_plural | 1960 | 1960 | 100.00%
i113_59m_ontem | 1960 | 1960 | 100.00%
i114_59m_urinar | 1960 | 1960 | 100.00%
i115_59m_regras | 1960 | 1960 | 100.00%
i116_59m_copia | 1960 | 1960 | 100.00%
i117_59m_figuras | 1960 | 1960 | 100.00%
i118_59m_colore | 1960 | 1960 | 100.00%
i119_59m_sabe | 1960 | 1960 | 100.00%
n10_guardar_frutas | 1960 | 1960 | 100.00%
n11_pegar_refrigerante | 1960 | 1960 | 100.00%
n12_comer_biscoitos | 1960 | 1960 | 100.00%
n13_comer_bala | 1960 | 1960 | 100.00%
n14_comer_comida | 1960 | 1960 | 100.00%
n15_come_suficiente | 1960 | 1960 | 100.00%
n16_forcar_comer | 1960 | 1960 | 100.00%
n17_comer_menos | 1960 | 1960 | 100.00%
p11a_agua_outra | 1960 | 1960 | 100.00%
u02a_coleta_motivo | 1960 | 1960 | 100.00%
u02b_qual_outro_motivo | 1960 | 1960 | 100.00%
u03a_puncao_motivo | 1960 | 1960 | 100.00%
u22_recoleta_realizada | 1960 | 1960 | 100.00%
u22a_recoleta_motivo | 1960 | 1960 | 100.00%
u22b_qual_outro_motivo | 1960 | 1960 | 100.00%
u23_febre_diarreia | 1960 | 1960 | 100.00%
u24a_refeicao_hora | 1960 | 1960 | 100.00%
u24b_refeicao_minuto | 1960 | 1960 | 100.00%
u26_puncao | 1960 | 1960 | 100.00%
u26a_puncao_motivo | 1960 | 1960 | 100.00%
u27a_coleta_hora | 1960 | 1960 | 100.00%
u27b_coleta_minuto | 1960 | 1960 | 100.00%
u28_braco | 1960 | 1960 | 100.00%
u29_tubos | 1960 | 1960 | 100.00%
u30_volume | 1960 | 1960 | 100.00%
u30a_volume_trace | 1960 | 1960 | 100.00%
u30b_volume_edta | 1960 | 1960 | 100.00%
u31a_observacoes | 1960 | 1960 | 100.00%
vd_idade_2cat | 1960 | 1960 | 100.00%
vd_linfat_final | 1960 | 1960 | 100.00%
vd_linftp_final | 1960 | 1960 | 100.00%
vd_meta_final | 1960 | 1960 | 100.00%
vd_metap_final | 1960 | 1960 | 100.00%
vd_mielo_final | 1960 | 1960 | 100.00%
vd_mielop_final | 1960 | 1960 | 100.00%
d06a_qual_outra | 1959 | 1960 | 99.95%
k17a_alimento_qual_outro | 1959 | 1960 | 99.95%
p10a_esgoto_outra | 1959 | 1960 | 99.95%
u01_febre_diarreia | 1959 | 1960 | 99.95%
u03_puncao | 1959 | 1960 | 99.95%
u04a_coleta_hora | 1959 | 1960 | 99.95%
u04b_coleta_minuto | 1959 | 1960 | 99.95%
u05_braco | 1959 | 1960 | 99.95%
u06_tubos | 1959 | 1960 | 99.95%
u07_volume | 1959 | 1960 | 99.95%
u07a_volume_trace | 1959 | 1960 | 99.95%
u07b_volume_edta | 1959 | 1960 | 99.95%
u08a_observacoes | 1959 | 1960 | 99.95%
u09a_refeicao_hora | 1959 | 1960 | 99.95%
u09b_refeicao_minuto | 1959 | 1960 | 99.95%
j05a_religiao_outra | 1958 | 1960 | 99.90%
p12a_lixo_qual_outro | 1958 | 1960 | 99.90%
s11_altura_observacoes | 1958 | 1960 | 99.90%
t06c_qual_outra | 1957 | 1960 | 99.85%
datahorapedido | 1956 | 1960 | 99.80%
h10a_consulta_outro | 1956 | 1960 | 99.80%
i020_6m_sons | 1956 | 1960 | 99.80%
i021_6m_olha | 1956 | 1960 | 99.80%
i022_6m_barriga | 1956 | 1960 | 99.80%
i023_6m_brinquedo | 1956 | 1960 | 99.80%
i024_6m_procura | 1956 | 1960 | 99.80%
i025_6m_segura | 1956 | 1960 | 99.80%
i026_6m_bracos | 1956 | 1960 | 99.80%
i027_6m_sentada | 1956 | 1960 | 99.80%
i028_6m_mao | 1956 | 1960 | 99.80%
i029_6m_puxa | 1956 | 1960 | 99.80%
idade | 1956 | 1960 | 99.80%
t06b_qual_das_pecas | 1956 | 1960 | 99.80%
u02_coleta_realizada | 1956 | 1960 | 99.80%
vd_afoli_final | 1956 | 1960 | 99.80%
vd_baso_final | 1956 | 1960 | 99.80%
vd_basop_final | 1956 | 1960 | 99.80%
vd_bast_final | 1956 | 1960 | 99.80%
vd_bastp_final | 1956 | 1960 | 99.80%
vd_chcm_final | 1956 | 1960 | 99.80%
vd_eos_final | 1956 | 1960 | 99.80%
vd_eosp_final | 1956 | 1960 | 99.80%
vd_pcr_final | 1956 | 1960 | 99.80%
vd_ferri_final | 1956 | 1960 | 99.80%
vd_hb_final | 1956 | 1960 | 99.80%
vd_hcm_final | 1956 | 1960 | 99.80%
vd_ht_final | 1956 | 1960 | 99.80%
vd_selen_final | 1956 | 1960 | 99.80%
vd_zn_final | 1956 | 1960 | 99.80%
vd_vb12_final | 1956 | 1960 | 99.80%
vd_vit25_final | 1956 | 1960 | 99.80%
vd_vita_final | 1956 | 1960 | 99.80%
vd_vitb1_final | 1956 | 1960 | 99.80%
vd_vitb6_final | 1956 | 1960 | 99.80%
vd_vite_final | 1956 | 1960 | 99.80%
vd_leuco_final | 1956 | 1960 | 99.80%
vd_linfo_final | 1956 | 1960 | 99.80%
vd_linfop_final | 1956 | 1960 | 99.80%
vd_mono_final | 1956 | 1960 | 99.80%
vd_monop_final | 1956 | 1960 | 99.80%
vd_pla_final | 1956 | 1960 | 99.80%
vd_rbc_final | 1956 | 1960 | 99.80%
vd_rdw_final | 1956 | 1960 | 99.80%
vd_seg_final | 1956 | 1960 | 99.80%
vd_segp_final | 1956 | 1960 | 99.80%
vd_vcm_final | 1956 | 1960 | 99.80%
vd_afoli_fonte | 1956 | 1960 | 99.80%
vd_vb12_fonte | 1956 | 1960 | 99.80%
vd_ferri_fonte | 1956 | 1960 | 99.80%
vd_pcr_fonte | 1956 | 1960 | 99.80%
vd_hb_fonte | 1956 | 1960 | 99.80%
vd_selen_fonte | 1956 | 1960 | 99.80%
vd_zn_fonte | 1956 | 1960 | 99.80%
vd_vit25_fonte | 1956 | 1960 | 99.80%
vd_vita_fonte | 1956 | 1960 | 99.80%
vd_vite_fonte | 1956 | 1960 | 99.80%
vd_vitb6_fonte | 1956 | 1960 | 99.80%
vd_vitb1_fonte | 1956 | 1960 | 99.80%
h12a_alergia_outro | 1955 | 1960 | 99.74%
d05_quais_refeicoes | 1954 | 1960 | 99.69%
p02a_outro | 1954 | 1960 | 99.69%
vd_d051_cafe_manha | 1954 | 1960 | 99.69%
vd_d052_lanche_manha | 1954 | 1960 | 99.69%
vd_d053_almoco | 1954 | 1960 | 99.69%
vd_d054_lanche_tarde | 1954 | 1960 | 99.69%
vd_d055_jantar | 1954 | 1960 | 99.69%
vd_d056_outra | 1954 | 1960 | 99.69%
vd_d059_nao_sabe | 1954 | 1960 | 99.69%
d03_duracao | 1953 | 1960 | 99.64%
d04_refeicao | 1953 | 1960 | 99.64%
j07a_nao_outra | 1953 | 1960 | 99.64%
s05_peso_observacoes | 1951 | 1960 | 99.54%
s23a_peso_medida4 | 1946 | 1960 | 99.29%
b06a_porque | 1945 | 1960 | 99.23%
s28_peso_observacoes | 1945 | 1960 | 99.23%
s23_peso_medida3 | 1944 | 1960 | 99.18%
s24_peso_padrao | 1944 | 1960 | 99.18%
s02b_descreva_crianca | 1943 | 1960 | 99.13%
s22_permissao_peso | 1942 | 1960 | 99.08%
d06_relacao_responsavel | 1938 | 1960 | 98.88%
s21a_pode_informar_peso | 1938 | 1960 | 98.88%
s21c_idade_recalculada_peso | 1938 | 1960 | 98.88%
t01a_peso_motivo | 1938 | 1960 | 98.88%
